Date,Inflation Index(2013=100),Inflation Index(2021=100),YoY Inflation Rate(%)
1/1/2021,138.7,,3
2/1/2021,139.1,,3.3
3/1/2021,138.8,,4.1
4/1/2021,138.8,,3.9
5/1/2021,140.3,,4.5
6/1/2021,142.4,,5.2
7/1/2021,143.1,,5.7
8/1/2021,143.5,,6
9/1/2021,144.1,,5.7
10/1/2021,146.9,,7.6
11/1/2021,150.7,,9.9
12/1/2021,154.7,,12.1
1/1/2022,158.4,124.3,14.2
2/1/2022,160.1,125.8,15.1
3/1/2022,164.9,129.7,18.7
4/1/2022,180.2,142.1,29.8
5/1/2022,195.2,153.6,39.1
6/1/2022,220.2,171.7,54.6
7/1/2022,230.1,178.9,60.8
8/1/2022,235.8,182.8,64.3
9/1/2022,244.7,189.3,69.8
10/1/2022,243.8,188.5,66
11/1/2022,242.6,187.1,61
12/1/2022,243.2,187.6,57.2
1/1/2023,,188.6,51.7
2/1/2023,,189.5,50.6
3/1/2023,,195,50.3
4/1/2023,,192.3,35.3
5/1/2023,,192.3,25.2
6/1/2023,,192.3,12
7/1/2023,,190.2,6.3
8/1/2023,,190.1,4
9/1/2023,,191.8,1.3
10/1/2023,,191.4,1.5
11/1/2023,,193.4,3.4
12/1/2023,,195.1,4
1/1/2024,,200.7,6.4
2/1/2024,,200.6,5.9
3/1/2024,,196.7,0.9
4/1/2024,,195.2,1.5
5/1/2024,,194.1,0.9
6/1/2024,,195.6,1.7
7/1/2024,,194.7,2.4
8/1/2024,,191.1,0.5
9/1/2024,,190.9,-0.5
10/1/2024,,189.9,-0.8
11/1/2024,,189.4,-2.1
12/1/2024,,191.7,-1.7
