date,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),shortwave_radiation_sum (MJ/m²)
1/1/2021,63,28.6,22.5,33.5,26.5,2021-01-01T06:22,2021-01-01T18:05,4.7,4.7,9,11.55
1/2/2021,51,29.7,22.7,33.7,25.7,2021-01-02T06:22,2021-01-02T18:06,1.5,1.5,7,14.02
1/3/2021,61,29.5,23.2,36.8,27.2,2021-01-03T06:22,2021-01-03T18:06,4.3,4.3,9,16.87
1/4/2021,51,27.2,23.4,32.2,28.1,2021-01-04T06:23,2021-01-04T18:07,1.6,1.6,13,10.27
1/5/2021,63,28.1,23.5,33.9,27.7,2021-01-05T06:23,2021-01-05T18:07,6.4,6.4,11,13.59
1/6/2021,63,28.3,23.2,34.9,27.8,2021-01-06T06:24,2021-01-06T18:08,7.4,7.4,12,17.96
1/7/2021,51,29.8,23.1,36.2,27.8,2021-01-07T06:24,2021-01-07T18:08,0.5,0.5,4,18.54
1/8/2021,63,26.2,23.8,31.5,28.8,2021-01-08T06:24,2021-01-08T18:09,35.1,35.1,16,7.26
1/9/2021,63,28.6,23.6,33.8,28.3,2021-01-09T06:25,2021-01-09T18:09,7.5,7.5,14,11.17
1/10/2021,63,28.3,22.8,33.9,27.2,2021-01-10T06:25,2021-01-10T18:10,10.1,10.1,8,12.57
1/11/2021,63,27.3,23.6,30.9,27.2,2021-01-11T06:25,2021-01-11T18:10,18.6,18.6,15,9.35
1/12/2021,63,29.5,23,36.6,27.6,2021-01-12T06:26,2021-01-12T18:11,10.2,10.2,9,16.36
1/13/2021,65,28.3,23.4,34.4,28.1,2021-01-13T06:26,2021-01-13T18:11,108.5,108.5,13,8.99
1/14/2021,63,28.9,22.7,35,27,2021-01-14T06:26,2021-01-14T18:12,20.4,20.4,13,15.38
1/15/2021,61,26.9,22.7,32.2,27.3,2021-01-15T06:26,2021-01-15T18:12,7.5,7.5,16,7.77
1/16/2021,53,27.7,22.9,33,27.7,2021-01-16T06:27,2021-01-16T18:13,3.2,3.2,11,14.94
1/17/2021,51,29.5,23,35.5,27.1,2021-01-17T06:27,2021-01-17T18:13,0.2,0.2,1,17.97
1/18/2021,53,29.3,22.5,34.3,25.8,2021-01-18T06:27,2021-01-18T18:13,2.9,2.9,8,16.23
1/19/2021,3,29.5,22.4,33.4,24.3,2021-01-19T06:27,2021-01-19T18:14,0,0,0,17.7
1/20/2021,3,29.7,23,34.2,25.1,2021-01-20T06:27,2021-01-20T18:14,0,0,0,21.73
1/21/2021,53,28.3,22.9,34.7,27.6,2021-01-21T06:28,2021-01-21T18:15,1.8,1.8,7,19.23
1/22/2021,51,28.8,22.9,35,27.4,2021-01-22T06:28,2021-01-22T18:15,0.9,0.9,6,20.66
1/23/2021,51,29.7,23.3,35.7,27.6,2021-01-23T06:28,2021-01-23T18:15,0.1,0.1,1,21.61
1/24/2021,3,29.8,22.1,35.1,25.4,2021-01-24T06:28,2021-01-24T18:16,0,0,0,22.79
1/25/2021,51,29.4,23.1,35.3,24.7,2021-01-25T06:28,2021-01-25T18:16,1.4,1.4,7,21.72
1/26/2021,3,29.6,21.5,32.4,22.4,2021-01-26T06:28,2021-01-26T18:17,0,0,0,23.53
1/27/2021,3,30,21.9,33.6,22.5,2021-01-27T06:28,2021-01-27T18:17,0,0,0,22.18
1/28/2021,51,30.6,22.1,35.7,23,2021-01-28T06:28,2021-01-28T18:17,0.4,0.4,2,20.92
1/29/2021,61,28.3,23.1,32.9,25.3,2021-01-29T06:28,2021-01-29T18:18,1.6,1.6,4,12.07
1/30/2021,63,30.1,22.8,37.2,27.1,2021-01-30T06:28,2021-01-30T18:18,6.4,6.4,3,16.33
1/31/2021,65,30.3,23.2,37.2,26.9,2021-01-31T06:28,2021-01-31T18:18,17.3,17.3,7,16.69
2/1/2021,61,30.1,22.9,36.2,26.9,2021-02-01T06:28,2021-02-01T18:18,4.3,4.3,5,19.44
2/2/2021,61,30.6,23.6,37.3,26.2,2021-02-02T06:28,2021-02-02T18:19,2.6,2.6,7,19.2
2/3/2021,51,30.3,23.9,33.8,25.8,2021-02-03T06:28,2021-02-03T18:19,0.3,0.3,3,19.23
2/4/2021,3,31,23.7,33.4,24.3,2021-02-04T06:28,2021-02-04T18:19,0,0,0,21.26
2/5/2021,3,30.6,22.3,33.9,23.3,2021-02-05T06:28,2021-02-05T18:19,0,0,0,23.37
2/6/2021,51,30.3,23.3,34.3,25.3,2021-02-06T06:28,2021-02-06T18:20,1.1,1.1,5,19.84
2/7/2021,61,30.8,23.6,36.4,26.9,2021-02-07T06:28,2021-02-07T18:20,4.4,4.4,6,15.22
2/8/2021,51,30.6,24.1,33.8,25.5,2021-02-08T06:28,2021-02-08T18:20,0.3,0.3,3,19.44
2/9/2021,3,31.4,23.4,34,23.5,2021-02-09T06:28,2021-02-09T18:20,0,0,0,24.64
2/10/2021,3,31,22.3,35.1,22.3,2021-02-10T06:28,2021-02-10T18:20,0,0,0,24.6
2/11/2021,3,30.4,21.2,35.6,21.3,2021-02-11T06:27,2021-02-11T18:21,0,0,0,24.62
2/12/2021,3,30.4,21.5,36,23.2,2021-02-12T06:27,2021-02-12T18:21,0,0,0,24.37
2/13/2021,3,30.4,22.6,35.8,25.5,2021-02-13T06:27,2021-02-13T18:21,0,0,0,22.32
2/14/2021,51,30.4,23,35.7,26.2,2021-02-14T06:27,2021-02-14T18:21,0.1,0.1,1,22.06
2/15/2021,3,31.7,22.7,36.1,26.3,2021-02-15T06:27,2021-02-15T18:21,0,0,0,24.86
2/16/2021,3,29.4,22.5,35.5,26.7,2021-02-16T06:27,2021-02-16T18:21,0,0,0,24.1
